name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,title,timestamp,headquarters,state,realTimeWorth,realTimeRank,realTimePosition,squareImage
R. Budi Hartono,Hartono,r-budi-hartono,r-budi-hartono,0,76,"banking, tobacco",Finance and Investments,M,Indonesia,,1488028803343,,,,,,
Roman Abramovich,Abramovich,roman-abramovich,roman-abramovich,-54.511,50,"steel, investments",Diversified,M,Russia,,1488028803343,,,,,,
Thomas Frist Jr & family,Frist,thomas-frist-jr,thomas-frist-jr,42.726,78,health care,Healthcare,M,United States,,1488028803343,TN,Tennessee,,,,http://specials-images.forbesimg.com/imageserve/ee825ff539047091cda533423b10d65b/416x416.jpg?background=000000&cropX1=29&cropX2=917&cropY1=144&cropY2=1032
Michael Hartono,Hartono,michael-hartono,no-pic,0,77,"tobacco, banking",Manufacturing,M,Indonesia,,1488028803343,,,,,,
Mikhail Prokhorov,Prokhorov,mikhail-prokhorov,mikhail-prokhorov,-48.738,51,investments,Finance and Investments,M,Russia,"Owner, Brooklyn Nets",1488028803343,,,,,,
Leonard Lauder,Lauder,leonard-lauder,leonard-lauder,-23.383,79,Estee Lauder,Fashion & Retail,M,United States,"Chairman Emeritus, Est&#233;e Lauder",1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e04a33a7ea430a8a1a0578/416x416.jpg?background=000000&cropX1=217&cropX2=546&cropY1=192&cropY2=521
Robert & Philip Ng,Ng,robert-philip-ng,robert-philip-ng,-32.055,,real estate,Real Estate,M,Singapore,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/5797dd5c31358e154fddfdc8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=74&cropY2=818
Patrick Soon-Shiong,Soon-Shiong,patrick-soon-shiong,patrick-soon-shiong,-49.722,64,pharmaceuticals,Healthcare,M,United States,,1488028803343,CA,California,,,,http://specials-images.forbesimg.com/imageserve/57e57d1da7ea430a8a1a2bd0/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=48&cropY2=792
Yao Zhenhua,Yao,yao-zhenhua,yao-zhenhua,-9.121,47,conglomerate,Diversified,M,China,"Chairman, Baoneng Group",1488028803343,,Guangdong,,,,
Micky Arison,Arison,micky-arison,micky-arison,9.233,67,Carnival Cruises,Service,M,United States,"Chairman and CEO, Carnival",1488028803343,FL,Florida,,,,http://specials-images.forbesimg.com/imageserve/57e0500c4bbe6f6781c524a6/416x416.jpg?background=000000&cropX1=53&cropX2=633&cropY1=45&cropY2=625
Zhang Zhidong,Zhang,zhang-zhidong,zhang-zhidong,-135.717,45,internet media,Technology,M,China,"Cofounder, Tencent Holdings",1488028803343,,Guangdong,,,,http://specials-images.forbesimg.com/imageserve/8c2c90c2667221740e4fe57cde754bf8/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=73&cropY2=817
Shahid Khan,Khan,shahid-khan,shahid-khan,0,66,auto parts,Automotive,M,United States,,1488028803343,FL,Florida,,,,http://specials-images.forbesimg.com/imageserve/57e057014bbe6f6781c52533/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=135&cropY2=879
Xavier Niel,Niel,xavier-niel,xavier-niel,-25.412,49,"internet, telecom",Telecom,M,France,,1488028803343,,,,,,
Mohammed Al Amoudi,Al Amoudi,mohammed-al-amoudi,mohammed-al-amoudi,-2.125,70,"oil, diversified",Energy,M,Saudi Arabia,,1488028803343,,,,,,
Uday Kotak,Kotak,uday-kotak,uday-kotak,0,57,banking,Finance and Investments,M,India,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/57d8804a31358e16c5898f3a/416x416.jpg?background=000000&cropX1=217&cropX2=573&cropY1=126&cropY2=482
Katharine Rayner,Rayner,katharine-rayner,no-pic-female,0,72,media,Media & Entertainment,F,United States,,1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e04d14a7ea430a8a1a0599/416x416.jpg?background=000000&cropX1=77&cropX2=744&cropY1=52&cropY2=719
Margaretta Taylor,Taylor,margaretta-taylor,no-pic-female,0,74,media,Media & Entertainment,F,United States,,1488028803343,NY,New York,,,,
Pierre Omidyar,Omidyar,pierre-omidyar,pierre-omidyar,70.368,49,eBay,Technology,M,United States,"Founder, eBay",1488028803343,HI,Hawaii,,,,http://specials-images.forbesimg.com/imageserve/57e04c8331358e16c589b874/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=64&cropY2=808
Viktor Rashnikov,Rashnikov,viktor-rashnikov,viktor-rashnikov,-143.871,68,steel,Manufacturing,M,Russia,,1488028803343,,,,,,
Ken Griffin,Griffin,ken-griffin,ken-griffin,0,48,hedge funds,Finance and Investments,M,United States,"Founder, Citadel LLC",1488028803343,IL,Illinois,,,,http://specials-images.forbesimg.com/imageserve/57e04d73a7ea430a8a1a05b1/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=81&cropY2=825
Liu Qiangdong,Liu,liu-qiangdong,liu-qiangdong,-85.748,42,e-commerce,Technology,M,China,"Founder and CEO, JD.com",1488028803343,,Beijing,,,,http://specials-images.forbesimg.com/imageserve/56c6660ae4b062f6b59a12a3/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=158&cropY2=902
Michael Otto & family,Otto,michael-otto,michael-otto,5.31,73,"retail, real estate",Fashion & Retail,M,Germany,,1488028803343,,,,,,
Walter Kwok,Kwok,walter-kwok,walter-kwok,23.211,66,real estate,Real Estate,M,Hong Kong,,1488028803343,,,,,,
Walter Droege,Droege,walter-droege,no-pic,0,64,consulting,Service,M,Germany,,1488028803343,,,,,,
Zhou Qunfei,Zhou,zhou-qunfei,zhou-qunfei,59.395,47,smartphone screens,Technology,F,Hong Kong,"Founder and CEO, Lens Technology",1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/55b921a4e4b05c2c34324354/416x416.jpg?background=000000&cropX1=10&cropX2=719&cropY1=95&cropY2=804
Sunil Mittal & family,Mittal,sunil-mittal,sunil-mittal,0,59,telecom,Telecom,M,India,,1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/57d880aa4bbe6f6781c4eff9/416x416.jpg?background=000000&cropX1=124&cropX2=684&cropY1=98&cropY2=659
Stanley Kroenke,Kroenke,stanley-kroenke,stanley-kroenke,0,69,"sports, real estate",Sports,M,United States,,1488028803343,MO,Missouri,,,,http://specials-images.forbesimg.com/imageserve/57e04c0d31358e16c589b871/416x416.jpg?background=000000&cropX1=24&cropX2=729&cropY1=153&cropY2=859
Terry Gou,Gou,terry-gou,terry-gou,-55.275,66,electronics,Technology,M,Taiwan,"CEO, Hon Hai Precision",1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/57057250e4b0fd7369a3e23b/416x416.jpg?background=000000&cropX1=166&cropX2=530&cropY1=66&cropY2=430
Stephen Ross,Ross,stephen-ross,stephen-ross,0,76,real estate,Real Estate,M,United States,,1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e585c14bbe6f24d1f8929b/416x416.jpg?background=000000&cropX1=2&cropX2=728&cropY1=31&cropY2=758
Zong Qinghou,Zong,zong-qinghou,zong-qinghou,0,71,beverages,Food and Beverage,M,China,"Chairman, Hangzhou Wahaha Group",1488028803343,,Zhejiang,,,,
Richard Kinder,Kinder,richard-kinder,richard-kinder,-70.363,72,pipelines,Energy,M,United States,"Chairman and CEO, Kinder Morgan",1488028803343,TX,Texas,,,,http://specials-images.forbesimg.com/imageserve/57e04fc9a7ea430a8a1a05e6/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=203&cropY2=947
Suh Kyung-Bae,Suh,suh-kyung-bae,suh-kyung-bae,439.781,54,cosmetics,Fashion & Retail,M,South Korea,"Chairman, Amorepacific",1488028803343,,,,,,http://specials-images.forbesimg.com/imageserve/5539280de4b0bacdbd748e4e/416x416.jpg?background=000000&cropX1=90&cropX2=710&cropY1=48&cropY2=668
Nicky Oppenheimer & family,Oppenheimer,nicky-oppenheimer,nicky-oppenheimer,-2.688,71,diamonds,Metals & Mining,M,South Africa,,1488028803343,,,,,,
Pauline MacMillan Keinath,Keinath,pauline-macmillan-keinath,no-pic-female,0,83,Cargill,Food and Beverage,F,United States,,1488028803343,MO,Missouri,,,,
Loretta Robinson & family,Robinson,loretta-robinson,no-pic-female,-77.236,77,cable tv,Media & Entertainment,F,Canada,,1488028803343,,Ontario,,,,
Quek Leng Chan,Quek,quek-leng-chan,quek-leng-chan,0,75,"banking, real estate",Diversified,M,Malaysia,,1488028803343,,,,,,
Michael Kadoorie,Kadoorie,michael-kadoorie,michael-kadoorie,-19.989,75,"hotels, energy",Energy,M,Hong Kong,,1488028803343,,,,,,
Xu Shihui & family,Xu,xu-shihui,xu-shihui,15.002,59,"snacks, beverages",Food and Beverage,M,China,"Chairman, Dali Foods Group Co.",1488028803343,,Fujian,,,,http://specials-images.forbesimg.com/imageserve/5809367ea7ea435b91b0477f/416x416.jpg?background=000000&cropX1=158&cropX2=530&cropY1=297&cropY2=669
Silvio Berlusconi & family,Berlusconi,silvio-berlusconi,silvio-berlusconi,-64.433,80,media,Diversified,M,Italy,,1488028803343,,,,,,
Lei Jun,Lei,lei-jun,lei-jun,-9.912,47,smartphones,Technology,M,China,"Founder and CEO, Xiaomi",1488028803343,,Beijing,,,,http://specials-images.forbesimg.com/imageserve/57a350b531358e4fd70bdaf8/416x416.jpg?background=000000&cropX1=63&cropX2=718&cropY1=23&cropY2=679
Li Shufu,Li,li-shufu,li-shufu,-206.601,53,automobiles,Automotive,M,China,,1488028803343,,Zhejiang,,,,
Zhang Shiping & family,Zhang,zhang-shiping,zhang-shiping,-265.345,69,aluminum products,Metals & Mining,M,China,,1488028803343,,Shandong,,,,
Melker Schorling,Schorling,melker-schorling,melker-schorling,-125.594,69,investments,Finance and Investments,M,Sweden,,1488028803343,,,,,,
Richard LeFrak & family,LeFrak,richard-lefrak,richard-lefrak,0.489,71,real estate,Real Estate,M,United States,,1488028803343,NY,New York,,,,http://specials-images.forbesimg.com/imageserve/57e057da4bbe6f6781c5253d/416x416.jpg?background=000000&cropX1=35&cropX2=718&cropY1=61&cropY2=744
Liu Yongxing,Liu,liu-yongxing,liu-yongxing,0,68,agribusiness,Service,M,China,"Chairman, East Hope Group",1488028803343,,Shanghai,,,,
Sandra Ortega Mera,Ortega Mera,sandra-ortega-mera,sandra-ortega-mera,-40.797,48,Zara,Fashion & Retail,F,Spain,,1488028803343,,,,,,
Suleiman Kerimov,Kerimov,suleiman-kerimov,suleiman-kerimov,0,50,investments,Finance and Investments,M,Russia,,1488028803343,,,,,,
Leonid Fedun,Fedun,leonid-fedun,leonid-fedun,12.332,60,oil,Energy,M,Russia,,1488028803343,,,,,,
Sergei Galitsky,Galitsky,sergei-galitsky,sergei-galitsky,-214.002,49,retail,Fashion & Retail,M,Russia,,1488028803343,,,,,,
Mikhail Gutseriev,Gutseriev,mikhail-gutseriev,mikhail-gutseriev,-1.466,58,"oil, real estate",Energy,M,Russia,,1488028803343,,,,,,
Travis Kalanick,Kalanick,travis-kalanick,travis-kalanick,0,40,Uber Technologies,Technology,M,United States,"Cofounder and CEO, Uber Technologies Inc.",1488028803343,CA,California,,,,http://specials-images.forbesimg.com/imageserve/57e0584731358e16c589b8ff/416x416.jpg?background=000000&cropX1=108&cropX2=741&cropY1=37&cropY2=670
Wei Jianjun & family,Wei,wei-jianjun,wei-jianjun,-63.056,52,automobiles,Automotive,M,China,,1488028803343,,Hebei,,,,
Robert Rowling,Rowling,robert-rowling,robert-rowling,0,63,investments,Energy,M,United States,,1488028803343,TX,Texas,,,,http://specials-images.forbesimg.com/imageserve/57e0598031358e16c589b90a/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=174&cropY2=918
Les Wexner & family,Wexner,les-wexner,les-wexner,94.743,79,retail,Fashion & Retail,M,United States,"Chairman and CEO, L Brands",1488028803343,OH,Ohio,,,,http://specials-images.forbesimg.com/imageserve/57e050a9a7ea430a8a1a05ee/416x416.jpg?background=000000&cropX1=72&cropX2=686&cropY1=40&cropY2=654
Marian Ilitch & family,Ilitch,marian-ilitch-1,no-pic-female,0,84,"pizza, sports team",Food and Beverage,F,United States,,1488028803343,MI,Michigan,,,,//specials-images.forbesimg.com/imageserve/58aca06f31358e1a35abc56d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=89&cropY2=833
Xu Chuanhua & family,Xu,xu-chuanhua,no-pic,-3.015,82,chemicals,Manufacturing,M,China,"Founder, Transfar Group",1488028803343,,Zhejiang,,,,
Mike Adenuga,Adenuga,mike-adenuga,mike-adenuga,0,63,"telecom, oil",Diversified,M,Nigeria,,1488028803343,,,,,,
Kirsten Rausing,Rausing,kirsten-rausing,kirsten-rausing,0,64,packaging,Food and Beverage,F,Sweden,,1488028803343,,,,,,
