name,lastName,uri,imageUri,worthChange,age,source,industry,gender,country,timestamp,realTimeWorth,realTimeRank,realTimePosition
Carlos Ardila Lulle,Ardila Lulle,carlos-ardila-lulle,carlos-ardila-lulle,0,86,"soft drinks, diversified",Food and Beverage,M,Colombia,1488028203331,2651.247,774,774
O. Francis Biondi,Biondi,o-francis-biondi,no-pic,0,52,hedge fund,Finance and Investments,M,United States,1488028203332,1600,1300,1303
Thor Bjorgolfsson,Bjorgolfsson,thor-bjorgolfsson,thor-bjorgolfsson,0,49,investments,Diversified,M,Iceland,1488028203332,1815,1174,1174
Alberto Bombassei,Bombassei,alberto-bombassei,alberto-bombassei,,76,automotive brakes,Automotive,M,Italy,1471984090779,,,
Julio Bozano,Bozano,julio-bozano,julio-bozano,1.099,81,banking,Finance and Investments,M,Brazil,1488028203332,1835.05,1155,1155
Francesco Gaetano Caltagirone,Caltagirone,francesco-gaetano-caltagirone,francesco-gaetano-caltagirone,-34.097,73,"cement, diversified",Construction & Engineering,M,Italy,1488028203332,1849.915,1149,1149
Chen Jianhua,Chen,chen-jianhua,chen-jianhua,0,46,chemicals,Manufacturing,M,China,1488028203332,1857.018,1141,1141
Chen Jinxia,Chen,chen-jinxia,no-pic-female,-1.719,48,investments,Finance and Investments,F,China,1488028203332,1786.297,1194,1194
Lucio and Susan Co,Co,lucio-and-susan-co,lucio-and-susan-co,7.231,62,Retailing,Fashion and Retail,,Philippines,1488028203331,1946.106,1091,1091
"Robert Coyiuto, Jr.",Coyiuto,robert-coyiuto-jr,robert-coyiuto-jr,0,64,power,Energy,M,Philippines,1488028203332,1490.347,1393,1393
Belmiro de Azevedo,de Azevedo,belmiro-de-azevedo,belmiro-de-azevedo,-5.894,78,retail,Diversified,M,Portugal,1488028203332,1540.906,1352,1352
Benjamin de Rothschild,de Rothschild,benjamin-de-rothschild,benjamin-de-rothschild,-7.795,53,banking,Finance and Investments,M,Switzerland,1488028203332,1496.334,1385,1385
Diego Della Valle,Della Valle,diego-della-valle,diego-della-valle,-8.904,63,shoes,Fashion and Retail,M,Italy,1488028203332,1535.792,1357,1357
Ding Shijia,Ding,ding-shijia,no-pic,-28.933,53,sportswear,Fashion & Retail,M,China,1488028203331,1945.528,1093,1093
Ding Shizhong,Ding,ding-shizhong,ding-shizhong,-29.871,46,sports apparel,Fashion & Retail,M,China,1488028203331,1960.555,1079,1079
Andre Esteves,Esteves,andre-esteves,andre-esteves,-0.274,48,banking,Finance and Investments,M,Brazil,1488028203332,1653.861,1264,1264
Fu Guangming,Fu,fu-guangming,fu-guangming,0.001,63,poultry,Food and Beverage,M,China,1488028203332,1493.458,1387,1387
Victor Fung,Fung,victor-fung,victor-fung,-7.392,71,trading company,Logistics,M,United States,1488028203332,1425.785,1442,1442
William Fung,Fung,william-fung,william-fung,-7.527,68,sourcing,Fashion and Retail,M,Hong Kong,1488028203332,1465.075,1413,1413
Peter Gilgan,Gilgan,peter-gilgan,peter-gilgan,0,66,homebuilding,Construction & Engineering,M,Canada,1488028203331,2037.334,1028,1028
Sam Goi,Goi,sam-goi,sam-goi,4.148,68,frozen foods,Food and Beverage,M,Singapore,1488028203331,2231.082,945,945
Mitchell Goldhar,Goldhar,mitchell-goldhar,mitchell-goldhar,-15.069,55,real estate,Real Estate,M,Canada,1488028203331,2285.659,925,925
Senapathy Gopalakrishnan,Gopalakrishnan,senapathy-gopalakrishnan,senapathy-gopalakrishnan,0,61,software services,Technology,M,India,1488028203332,1644.513,1272,1272
Allan Gray,Gray,allan-gray,allan-gray,0,79,money management,Finance and Investments,M,South Africa,1488028203332,1906.591,1116,1116
Alexandre Grendene Bartelle,Grendene Bartelle,alexandre-grendene-bartelle,alexandre-grendene-bartelle,3.003,67,shoes,Fashion and Retail,M,Brazil,1488028203331,2065.755,1013,1013
